nom,code,type,gid,adresse,lon,lat
Service de la diffusion des échanges artistiques,E,E2,2513,3 rue Mably,-0.5767398,44.8428418
Conservatoire du littoral,E,E6,2515,74 rue Georges Bonnac,-0.5855833,44.8397222
Département - Immeuble Solidarité,E,E14,2558,,-0.587403,44.8367916
Secrétariat Général pour les Affaires Régionales (SGAR),E,E18,2666,4 A Esplanade Charles de Gaulle,-0.5836113,44.8368273
Direction Interrégionale des Services Pénitentiaires (DISP),E,E12,2668,190 rue de Pessac,-0.5859996,44.8272841
"Unité Territoriale de la Direction Régionale de l'Entreprise, de la Concurrence, de la Consommation, du Travail et de l'Emploi (UT DIRECCTE)",E,E11,2682,118 cours Maréchal Juin,-0.5880555,44.8343475
Chambre départementale d'agriculture de la Gironde,E,E1,2705,17 cours Xavier Arnozan,-0.571928,44.8493748
Mairie de quartier Bordeaux Maritime,O,O1,3390,196 rue Achard,-0.5461685,44.8730695
Tribunal administratif,E,E12,4446,9 rue Tastet,-0.5816608,44.8355188
Pôle emploi,E,E11,4794,5 place Ravesies,-0.5753273,44.8665519
BxMétro - Expertise,M,M6,5835,14 avenue de Tourville,-0.5573991,44.8776582
Bordeaux Port Atlantique - Pôle technique de Bacalan,E,E6,6033,152 quai de Bacalan,-0.5494242,44.8632596
Bordeaux Port Atlantique - Siège social Henri Salmide,E,E6,6034,152 quai de Bacalan,-0.5483994,44.8638218
Direction Interrégionale de la Protection Judiciaire de la Jeunesse (DIRPJJ),E,E12,6234,8 rue Poitevin,-0.5832144,44.8452523
Finances Publiques Délégation du Sud Ouest (FISO),E,E4,8393,2 rue des Piliers de Tutelle,-0.5736285,44.8420116
Maison Départementale Solidarité Insertion de Bordeaux Caudéran (MDSI),B,B10,8449,88 rue Bellus-Mareilhac,-0.6198127,44.8554158
Chambre régionale d'agriculture d'Aquitaine - Maison de l'agriculture et de la forêt,E,E1,8452,,-0.571317,44.8496913
Annexe mairie de quartier Jardin public Chartrons,O,O1,8530,89 rue Fondaudège,-0.5812825,44.8477083
Région - Croix des Fontaines,E,E13,2419,,-0.5883748,44.8374845
Réseau Ferré de France (RFF) - Délégation régionale,E,E7,9363,88 quai des Chartrons,-0.5664833,44.8542581
Tribunal d'instance,E,E12,9448,180 rue Lecocq,-0.5921843,44.8316879
Mission locale Bordeaux Avenir Jeunes - Antenne ouest,E,E11,9454,29 rue de l'Ecole Normale,-0.600251,44.8474707
Direction Nationale du Renseignement et des Enquêtes Douanières (DNRED) - Service National de Douane Judiciaire (SNDJ),E,E4,9485,13 place Charles Gruet,-0.5804268,44.8462585
Caisse des dépôts - Direction régionale,E,E4,9488,38 rue de Cursol,-0.5776157,44.8346626
Onisep,E,E5,9495,3 terrasse Front du Médoc,-0.5870656,44.8389304
Chambre des Métiers et de l'Artisanat (CMA),E,E11,9539,46 rue du Général de Larminat,-0.5980474,44.8329482
